disp_id,client_id,account_id,type,birth_number,client_district_id,account_district_id,frequency,date
1,1,1,OWNER,706213,18,18,monthly issuance,950324
2,2,2,OWNER,450204,1,1,monthly issuance,930226
3,3,2,DISPONENT,406009,1,1,monthly issuance,930226
4,4,3,OWNER,561201,5,5,monthly issuance,970707
5,5,3,DISPONENT,605703,5,5,monthly issuance,970707
6,6,4,OWNER,190922,12,12,monthly issuance,960221
7,7,5,OWNER,290125,15,15,monthly issuance,970530
8,8,6,OWNER,385221,51,51,monthly issuance,940927
9,9,7,OWNER,351016,60,60,monthly issuance,961124
10,10,8,OWNER,430501,57,57,monthly issuance,950921
11,11,8,DISPONENT,505822,57,57,monthly issuance,950921
12,12,9,OWNER,810220,40,70,monthly issuance,930127
13,13,10,OWNER,745529,54,54,monthly issuance,960828
14,14,11,OWNER,425622,76,76,monthly issuance,951010
15,15,12,OWNER,185828,21,21,monthly issuance,970415
16,16,12,DISPONENT,190225,21,21,monthly issuance,970415
17,17,13,OWNER,341013,76,76,monthly issuance,970817
18,18,13,DISPONENT,315405,76,76,monthly issuance,970817
19,19,14,OWNER,421228,47,47,monthly issuance,961127
20,20,15,OWNER,790104,46,70,monthly issuance,931002
21,21,16,OWNER,526029,12,12,monthly issuance,970923
22,22,17,OWNER,696011,1,1,monthly issuance,970108
23,23,17,DISPONENT,730529,1,1,monthly issuance,970108
24,24,18,OWNER,395729,43,43,weekly issuance,930526
25,25,19,OWNER,395423,21,21,monthly issuance,950407
26,26,20,OWNER,695420,74,74,monthly issuance,960824
27,27,21,OWNER,665326,54,54,monthly issuance,971206
28,28,22,OWNER,450929,1,1,monthly issuance,940323
29,29,23,OWNER,515911,30,30,monthly issuance,930522
30,30,24,OWNER,576009,74,74,monthly issuance,961205
31,31,25,OWNER,620209,68,68,monthly issuance,960728
32,32,26,OWNER,800728,52,52,monthly issuance,930808
33,33,27,OWNER,486204,73,73,monthly issuance,930926
36,36,29,OWNER,785717,7,7,monthly issuance,941124
37,37,29,DISPONENT,700810,7,7,monthly issuance,941124
38,38,30,OWNER,735723,36,36,monthly issuance,950304
39,39,31,OWNER,680125,68,68,monthly issuance,940427
40,40,32,OWNER,575122,5,5,monthly issuance,950828
41,41,33,OWNER,680827,22,22,monthly issuance,930826
42,42,34,OWNER,350817,68,67,weekly issuance,930917
43,43,35,OWNER,201028,75,75,monthly issuance,930707
44,44,36,OWNER,775111,38,1,monthly issuance,930701
45,45,37,OWNER,520826,20,20,monthly issuance,970818
46,46,38,OWNER,405130,19,19,weekly issuance,970808
47,47,39,OWNER,340714,76,36,monthly issuance,930922
48,48,40,OWNER,400209,16,64,monthly issuance,931025
49,49,41,OWNER,595511,72,72,monthly issuance,970802
50,50,42,OWNER,785730,39,39,monthly issuance,960816
51,51,43,OWNER,796202,36,36,monthly issuance,940612
52,52,44,OWNER,241212,32,32,monthly issuance,930510
53,53,45,OWNER,770505,64,64,monthly issuance,970902
55,55,47,OWNER,485918,45,45,monthly issuance,930808
56,56,48,OWNER,600331,21,21,monthly issuance,961117
57,57,48,DISPONENT,616217,21,21,monthly issuance,961117
58,58,49,OWNER,275429,1,1,monthly issuance,970406
59,59,50,OWNER,570218,1,1,monthly issuance,940506
