loan_id,date_loan,amount,duration,payments,status,frequency,date_account,account_district_name,account_district_region,account_district_no. of inhabitants,account_district_no. of municipalities with inhabitants < 499,account_district_no. of municipalities with inhabitants 500-1999,account_district_no. of municipalities with inhabitants 2000-9999,account_district_no. of municipalities with inhabitants >10000,account_district_no. of cities,account_district_ratio of urban inhabitants,account_district_average salary,account_district_unemploymant rate '95,account_district_unemploymant rate '96,account_district_no. of enterpreneurs per 1000 inhabitants,account_district_no. of commited crimes '95,account_district_no. of commited crimes '96,num_holders,num_cards,type_card,birth_number,gender,client_district_name,client_district_region,client_district_no. of inhabitants,client_district_no. of municipalities with inhabitants < 499,client_district_no. of municipalities with inhabitants 500-1999,client_district_no. of municipalities with inhabitants 2000-9999,client_district_no. of municipalities with inhabitants >10000,client_district_no. of cities,client_district_ratio of urban inhabitants,client_district_average salary,client_district_unemploymant rate '95,client_district_unemploymant rate '96,client_district_no. of enterpreneurs per 1000 inhabitants,client_district_no. of commited crimes '95,client_district_no. of commited crimes '96,balance_mean,balance_max,balance_min,balance_std,reached_negative_balance,credit_mean,credit_count,credit_max,credit_min,withdrawal_mean,withdrawal_count,withdrawal_max,withdrawal_min,household_mean,household_sum,household_count,pension_mean,pension_sum,pension_count,payment_statement_mean,payment_statement_sum,payment_statement_count,insurances_mean,insurances_sum,insurances_count,sanctions_mean,sanctions_sum,sanctions_count
5314,930705,96396,12,8033,-1,2,930322,57,7,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985.0,2804,1,0,0.0,470722,0,56,7,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985.0,2804,12250.0,20100.0,1100.0,8330.8663014919,0.0,5025.0,4,9900.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6903,940604,52128,24,2172,1,1,930913,57,7,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985.0,2804,1,0,0.0,590717,0,48,1,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475.0,3529,33459.68028169013,59944.2,144.2,20087.365029779434,0.0,6244.838461538463,39,44473.0,38.7,-5771.99375,32.0,-0.1,-27300.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.6,-73.0,5.0,0.0,0.0,0.0,-0.3,-1.8,6.0
5316,930711,165960,36,4610,1,1,930213,35,2,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854.0,2618,1,0,0.0,680722,1,34,2,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854.0,2618,52083.85945945945,120512.8,700.0,29122.059453945632,0.0,13523.158823529411,17,36574.0,2.9,-8884.24,20.0,-14.6,-54300.0,-4167.0,-8334.0,2.0,0.0,0.0,0.0,-14.6,-43.8,3.0,-956.0,-2868.0,3.0,0.0,0.0,0.0
6863,930728,127080,60,2118,1,1,930208,20,2,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,1,0,0.0,360602,1,21,2,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,30060.954166666666,49590.4,800.0,11520.184451043691,0.0,5009.733333333334,15,19065.0,48.6,-6097.0,9.0,-66.0,-14800.0,-7936.0,-7936.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-66.0,1.0,0.0,0.0,0.0
6668,940730,74736,36,2076,1,1,930626,20,2,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,1,0,0.0,651029,1,21,2,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,37912.99850746269,62084.0,700.0,10605.688112953358,0.0,11194.334615384614,26,30918.0,16.5,-6288.019512195122,41.0,-14.6,-20000.0,-6184.0,-49472.0,8.0,0.0,0.0,0.0,-14.599999999999998,-116.79999999999998,8.0,0.0,0.0,0.0,0.0,0.0,0.0
7192,941221,115992,36,3222,1,2,930417,20,2,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,1,0,0.0,370517,1,61,7,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,25666.407086614123,107692.0,200.0,17591.05595019486,0.0,8683.641304347828,46,46194.0,5.4,-4812.074074074074,81.0,-30.0,-60600.0,-186.0,-2976.0,16.0,0.0,0.0,0.0,-30.0,-480.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
5160,951218,204000,60,3400,1,1,941217,20,2,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,1,0,0.0,440506,1,21,2,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,37809.39846153845,68172.8,400.0,12656.78282543214,0.0,10772.44,25,30604.0,49.3,-5782.955,40.0,-14.6,-16100.0,-7085.0,-56680.0,8.0,0.0,0.0,0.0,-14.599999999999998,-102.19999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0
5325,930803,105804,36,2939,1,1,930130,51,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,1,0,0.0,400420,0,8,5,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604.0,6295,41297.48,65898.5,1000.0,14151.260443037101,0.0,9254.6,13,26448.0,132.8,-7168.099999999999,12.0,-14.6,-15600.0,-6994.0,-13988.0,2.0,0.0,0.0,0.0,-14.6,-29.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6316,940526,76908,12,6409,-1,1,930126,51,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,1,0,0.0,460119,0,26,1,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244.0,5892,52890.40392156863,126002.8,1100.0,23250.780434566484,0.0,15876.135714285716,42,47434.0,17.0,-10865.153333333332,60.0,-14.6,-52200.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.599999999999996,-175.19999999999996,12.0,0.0,0.0,0.0,0.0,0.0,0.0
6004,940723,143904,24,5996,1,1,930220,51,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,1,0,0.0,510410,1,59,2,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123.0,2134,49727.45611510796,134571.2,700.0,23416.563215441554,0.0,14003.602127659571,47,46108.0,6.7,-6737.315217391303,92.0,-14.6,-60500.0,-2687.0,-42992.0,16.0,0.0,0.0,0.0,-14.599999999999996,-218.99999999999994,15.0,0.0,0.0,0.0,0.0,0.0,0.0
7004,950315,331560,60,5526,1,1,930821,51,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,2,0,0.0,801123,1,0,1,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159.0,2674,36941.99831932773,71924.6,900.0,11038.409511529931,0.0,11490.66,40,33276.0,36.3,-5210.562025316455,79.0,-14.6,-24700.0,-5887.0,-82418.0,14.0,0.0,0.0,0.0,-14.599999999999996,-204.39999999999995,14.0,0.0,0.0,0.0,0.0,0.0,0.0
6461,960919,74124,36,2059,1,2,950409,51,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,1,0,0.0,390413,0,50,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,54371.29918032792,159765.9,400.0,30062.38974331424,0.0,14442.828205128206,39,49816.0,60.9,-6477.253012048192,83.0,-30.0,-43200.0,-1080.0,-11880.0,11.0,0.0,0.0,0.0,-30.0,-330.0,11.0,-547.0,-6017.0,11.0,0.0,0.0,0.0
7271,961002,392460,60,6541,1,1,941124,51,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,2,0,0.0,801113,0,50,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,57131.74055944051,115913.4,900.0,20293.363479654065,0.0,20602.673913043476,46,58870.0,43.2,-9221.4206185567,97.0,-14.6,-35300.0,-9810.0,-176580.0,18.0,0.0,0.0,0.0,-14.599999999999998,-262.79999999999995,18.0,0.0,0.0,0.0,0.0,0.0,0.0
7240,930906,274740,60,4579,1,2,930214,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1,0,0.0,780907,1,69,6,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562.0,1460,57188.211111111115,122893.1,600.0,25256.6658167142,0.0,21255.93076923077,13,63366.0,77.1,-16801.0,14.0,-30.0,-36700.0,-756.0,-756.0,1.0,0.0,0.0,0.0,-30.0,-60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6820,931216,38148,12,3179,1,1,930628,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1,0,0.0,650122,0,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,37462.093103448264,62324.6,900.0,13293.43180524371,0.0,8067.861111111111,18,32706.0,9.9,-8863.236363636364,11.0,-14.6,-20600.0,-4697.0,-4697.0,1.0,0.0,0.0,0.0,-14.6,-14.6,1.0,-9115.0,-18230.0,2.0,0.0,0.0,0.0
4959,940105,80952,24,3373,1,1,930226,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,2,0,0.0,450204,1,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,32590.624074074083,67529.6,1100.0,12061.70568187609,0.0,10394.786363636364,22,30354.0,13.5,-6276.39375,32.0,-14.6,-22400.0,-7266.0,-36330.0,5.0,0.0,0.0,0.0,-14.6,-87.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6499,940105,80952,24,3373,1,1,930226,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,2,0,0.0,450204,1,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,33312.53888888889,67529.6,1100.0,12270.895742079607,0.0,10395.177272727273,22,30354.0,13.5,-6248.26875,32.0,-14.6,-22400.0,-7266.0,-36330.0,5.0,0.0,0.0,0.0,-14.6,-87.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
5479,940110,24516,12,2043,1,1,930227,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1,0,0.0,581007,1,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,55582.226027397315,125254.2,200.0,29534.218113303326,0.0,20344.677419354837,31,49536.0,12.5,-13143.542857142858,42.0,-14.6,-59200.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.599999999999998,-116.79999999999998,8.0,0.0,0.0,0.0,0.0,0.0,0.0
7259,940131,108144,36,3004,1,1,930520,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,2,0,0.0,630512,0,28,6,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595.0,2305,54652.89818181817,123863.4,900.0,25585.472260311024,0.0,16822.82608695652,23,45740.0,35.7,-11406.3625,32.0,-14.6,-60600.0,-4736.0,-28416.0,6.0,0.0,0.0,0.0,-14.6,-87.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
5285,940206,78936,12,6578,1,1,930509,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1,0,0.0,570122,0,61,7,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,25900.319607843143,40560.3,900.0,7684.86970531107,0.0,3975.2083333333335,24,11416.0,24.0,-2622.3703703703704,27.0,-14.6,-6300.0,-2359.0,-9436.0,4.0,0.0,0.0,0.0,-14.6,-73.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
7066,940502,215388,36,5983,-1,1,931127,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1,0,0.0,591217,1,33,3,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947.0,4743,32702.726666666666,50757.0,1000.0,10504.310470160515,0.0,6116.29,10,49757.0,18.0,-6100.0,5.0,-2600.0,-11400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6647,940601,208320,48,4340,1,2,930207,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,2,0,0.0,680414,0,61,7,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,43944.889411764714,82981.9,200.0,16039.860835602089,0.0,12819.854545454544,33,39060.0,79.0,-7286.0,52.0,-30.0,-29700.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-330.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
6736,940614,288360,60,4806,1,0,940227,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1,0,0.0,351215,1,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,33211.759999999995,58495.8,800.0,16686.231188764254,0.0,8081.299999999999,8,27116.0,8.7,-10600.0,2.0,-6000.0,-15200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6596,940625,91584,24,3816,1,1,931126,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1,0,0.0,511116,0,13,3,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650.0,4859,50765.41612903226,83039.4,1000.0,18234.741089032894,0.0,18390.37142857143,14,47906.0,29.4,-12213.070588235294,17.0,-14.6,-30600.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.6,-29.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6888,940711,39576,12,3298,1,1,930204,16,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1,0,0.0,800502,0,7,3,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,48944.827826086956,103467.2,300.0,26896.8541402657,0.0,9203.384905660378,53,49603.0,21.3,-7481.906451612903,62.0,-14.6,-38400.0,-9493.0,-113916.0,12.0,0.0,0.0,0.0,-14.599999999999996,-175.19999999999996,12.0,0.0,0.0,0.0,0.0,0.0,0.0
