Id,Predicted
5895,0.05
5172,0.1625
6207,0.1775
7122,0.95
7067,0.2075
6173,0.1475
6705,0.15
5889,0.095
5036,0.175
6142,0.235
6938,0.1775
5932,0.21
5398,0.17
6855,0.1125
6632,0.0725
5358,0.35
5674,0.195
5384,0.185
5589,0.45
5042,0.22
6095,0.0375
7049,0.125
6075,0.9275
6878,0.16
5790,0.5425
5532,0.2825
6118,0.2275
6442,0.185
6554,0.165
5973,0.19
5043,0.14
7195,0.305
6746,0.24
6793,0.17
5940,0.1775
5584,0.0475
5669,0.075
7286,0.1925
5992,0.1
6278,0.1525
6196,0.185
6052,0.2125
5354,0.2375
6076,0.125
5134,0.1725
6147,0.3425
6237,0.5425
5245,0.145
5582,0.1475
6508,0.44
4968,0.4425
6571,0.1025
5419,0.4625
6377,0.095
6562,0.145
6913,0.1525
6014,0.09
5556,0.315
6346,0.1425
6310,0.18
6763,0.2525
7051,0.1425
5117,0.19
6338,0.2975
5719,0.29
7181,0.2925
7264,0.155
5343,0.11
7277,0.32
6468,0.1175
7037,0.1925
5782,0.1275
5930,0.1275
6791,0.2775
5332,0.075
5491,0.36
7129,0.1625
6948,0.23
6962,0.205
6766,0.1825
7172,0.095
5501,0.2375
6234,0.065
6450,0.2275
5823,0.1525
5334,0.255
6821,0.29
5760,0.1825
6168,0.1075
5644,0.39
6255,0.3675
6660,0.21
5991,0.915
5656,0.1525
6322,0.0925
6877,0.09
4986,0.2375
5638,0.2175
5206,0.18
5369,0.21
5643,0.1675
5862,0.0625
6934,0.2175
7119,0.18
5124,0.2025
4989,0.325
6028,0.2075
5486,0.3775
5338,0.9475
6239,0.44
5287,0.27
6320,0.16
5815,0.2575
5154,0.24
6490,0.1575
5942,0.0575
7085,0.1675
6959,0.8625
5086,0.0675
6758,0.1575
5377,0.265
6612,0.1425
5447,0.79
6727,0.2375
7147,0.1775
5158,0.0625
5147,0.4725
5015,0.1875
5346,0.2875
6415,0.2375
4990,0.0475
6641,0.16
7187,0.1175
5799,0.1775
7110,0.115
5313,0.1225
7087,0.0575
5616,0.12
6357,0.0825
5865,0.1875
5027,0.0775
5420,0.1875
6235,0.13
5977,0.13
6851,0.9375
5531,0.0575
6824,0.9275
6386,0.16
5207,0.1975
6887,0.1375
5051,0.1525
6502,0.05
4962,0.0525
6552,0.0625
6044,0.25
5906,0.1575
5561,0.265
7115,0.145
6605,0.1675
7250,0.105
6875,0.155
5773,0.1625
5365,0.245
6010,0.405
6399,0.1275
6748,0.3325
6088,0.4825
7255,0.27
6861,0.165
5318,0.1375
5682,0.1625
7201,0.1625
6254,0.1225
7072,0.0425
6312,0.1425
5241,0.0875
5953,0.2975
5072,0.21
6970,0.2175
5774,0.25
5382,0.0675
5469,0.125
5772,0.045
5527,0.0825
5169,0.0725
5526,0.0575
5931,0.2875
5731,0.4125
5651,0.0575
5569,0.3925
6402,0.155
6753,0.2
5585,0.13
7046,0.2275
6486,0.2175
5893,0.305
5868,0.2025
5281,0.375
7100,0.24
6866,0.2925
6436,0.4275
5784,0.27
5174,0.3325
6350,0.215
5063,0.4825
6249,0.195
5808,0.085
6984,0.1675
6922,0.28
5367,0.2825
6625,0.3975
5963,0.2325
6534,0.3625
6730,0.1875
6054,0.2
7295,0.275
5878,0.1275
6655,0.2125
5956,0.2775
6926,0.1075
5140,0.3475
5520,0.1
5110,0.1875
5681,0.1725
5698,0.1675
5210,0.37
6059,0.38
6569,0.42
5428,0.215
7230,0.1325
7221,0.2875
5005,0.125
6464,0.1325
5034,0.0575
5304,0.145
6871,0.055
6956,0.225
6495,0.175
5363,0.6875
5634,0.07
5850,0.0975
6857,0.0425
7035,0.0525
7253,0.185
6544,0.1275
7202,0.1825
5683,0.18
7167,0.2375
6055,0.24
7199,0.06
5758,0.3125
5718,0.17
5229,0.17
5236,0.255
5360,0.085
6755,0.365
6819,0.44
5041,0.1925
6104,0.0975
6643,0.04
6083,0.09
5293,0.0875
7088,0.1525
7001,0.21
5779,0.405
6607,0.13
5103,0.1125
6215,0.1975
7096,0.2175
5039,0.215
6136,0.3075
6078,0.15
6037,0.085
6113,0.215
5976,0.385
7139,0.0525
5046,0.1825
5451,0.34
6856,0.4375
5253,0.2325
6695,0.1
6621,0.0475
6435,0.085
5389,0.18
6872,0.175
6908,0.3025
6942,0.1
6665,0.085
6541,0.0875
6688,0.25
5368,0.15
6923,0.15
6313,0.09
5270,0.085
5446,0.1575
5817,0.8625
7209,0.2375
6568,0.185
6682,0.835
5699,0.21
7292,0.105
5214,0.2575
6437,0.4075
5320,0.2575
7164,0.08
5221,0.145
5856,0.825
6353,0.0475
6677,0.27
6242,0.4025
5061,0.3575
6868,0.3625
6097,0.1425
7050,0.2
7171,0.1175
7200,0.17
6969,0.07
7219,0.11
7242,0.2075
6852,0.125
5830,0.115
6790,0.1075
5265,0.52
6007,0.1425
7279,0.13
5463,0.165
6355,0.22
6675,0.1125
5620,0.1425
4988,0.695
5765,0.2525
7091,0.125
5933,0.09
6470,0.1275
5841,0.07
6574,0.245
5525,0.145
5435,0.1875
7168,0.155
5909,0.2325
6859,0.2925
6539,0.1275
5226,0.4025
5260,0.2
6553,0.07
6633,0.16
7151,0.1425
5665,0.285
6932,0.075
7294,0.08
6321,0.175
6469,0.17
5614,0.1325
4967,0.93
