Id,Predicted
5895,0.9225
5172,0.84
6207,0.925
7122,0.2375
7067,0.7875
6173,0.9
6705,0.9225
5889,0.94
5036,0.865
6142,0.8025
6938,0.79
5932,0.8375
5398,0.8025
6855,0.89
6632,0.91
5358,0.6175
5674,0.7525
5384,0.84
5589,0.605
5042,0.78
6095,0.96
7049,0.9075
6075,0.215
6878,0.8425
5790,0.7375
5532,0.6925
6118,0.7925
6442,0.6175
6554,0.8575
5973,0.8375
5043,0.765
7195,0.74
6746,0.775
6793,0.82
5940,0.9175
5584,0.925
5669,0.9125
7286,0.785
5992,0.885
6278,0.91
6196,0.8975
6052,0.8675
5354,0.8775
6076,0.91
5134,0.76
6147,0.665
6237,0.24
5245,0.755
5582,0.785
6508,0.7175
4968,0.7225
6571,0.8425
5419,0.5675
6377,0.9575
6562,0.89
6913,0.9225
6014,0.8625
5556,0.6625
6346,0.85
6310,0.9175
6763,0.82
7051,0.785
5117,0.8125
6338,0.72
5719,0.6775
7181,0.755
7264,0.94
5343,0.9125
7277,0.7475
6468,0.85
7037,0.8325
5782,0.8925
5930,0.8825
6791,0.7
5332,0.95
5491,0.595
7129,0.895
6948,0.8925
6962,0.7175
6766,0.8825
7172,0.93
5501,0.815
6234,0.9725
6450,0.7325
5823,0.79
5334,0.8625
6821,0.6625
5760,0.875
6168,0.925
5644,0.6675
6255,0.68
6660,0.805
5991,0.1775
5656,0.8625
6322,0.925
6877,0.895
4986,0.8
5638,0.6925
5206,0.845
5369,0.8975
5643,0.795
5862,0.9
6934,0.765
7119,0.8575
5124,0.89
4989,0.785
6028,0.8625
5486,0.6175
5338,0.2475
6239,0.6725
5287,0.72
6320,0.84
5815,0.8075
5154,0.845
6490,0.865
5942,0.83
7085,0.85
6959,0.355
5086,0.9
6758,0.8025
5377,0.8925
6612,0.8925
5447,0.2925
6727,0.785
7147,0.8775
5158,0.9325
5147,0.7675
5015,0.845
5346,0.5775
6415,0.77
4990,0.8825
6641,0.84
7187,0.895
5799,0.9025
7110,0.7175
5313,0.835
7087,0.945
5616,0.7725
6357,0.9475
5865,0.8475
5027,0.9625
5420,0.5775
6235,0.81
5977,0.9075
6851,0.2625
5531,0.845
6824,0.2325
6386,0.71
5207,0.8025
6887,0.6175
5051,0.91
6502,0.8775
4962,0.8775
6552,0.83
6044,0.7925
5906,0.865
5561,0.735
7115,0.7125
6605,0.81
7250,0.8725
6875,0.9
5773,0.875
5365,0.7725
6010,0.7575
6399,0.9225
6748,0.645
6088,0.8075
7255,0.92
6861,0.925
5318,0.8225
5682,0.8725
7201,0.875
6254,0.8725
7072,0.915
6312,0.8675
5241,0.9075
5953,0.9125
5072,0.8825
6970,0.8625
5774,0.7025
5382,0.9475
5469,0.855
5772,0.8675
5527,0.945
5169,0.915
5526,0.9775
5931,0.805
5731,0.7425
5651,0.9225
5569,0.675
6402,0.88
6753,0.9
5585,0.8925
7046,0.775
6486,0.7625
5893,0.7375
5868,0.8075
5281,0.6775
7100,0.7975
6866,0.765
6436,0.6
5784,0.7325
5174,0.5775
6350,0.77
5063,0.6075
6249,0.7825
5808,0.9525
6984,0.8425
6922,0.8
5367,0.7975
6625,0.6975
5963,0.7675
6534,0.72
6730,0.7925
6054,0.7675
7295,0.71
5878,0.3725
6655,0.51
5956,0.45
6926,0.6225
5140,0.5075
5520,0.6825
5110,0.775
5681,0.7525
5698,0.82
5210,0.7225
6059,0.67
6569,0.725
5428,0.735
7230,0.9225
7221,0.71
5005,0.8475
6464,0.8125
5034,0.81
5304,0.85
6871,0.84
6956,0.6875
6495,0.79
5363,0.3425
5634,0.94
5850,0.9675
6857,0.995
7035,0.9775
7253,0.795
6544,0.785
7202,0.765
5683,0.77
7167,0.7825
6055,0.7675
7199,0.8375
5758,0.7625
5718,0.85
5229,0.7875
5236,0.77
5360,0.8225
6755,0.715
6819,0.86
5041,0.89
6104,0.89
6643,0.955
6083,0.905
5293,0.8875
7088,0.7975
7001,0.81
5779,0.72
6607,0.785
5103,0.855
6215,0.8575
7096,0.7825
5039,0.5375
6136,0.735
6078,0.875
6037,0.7525
6113,0.77
5976,0.5275
7139,0.8425
5046,0.4575
5451,0.8375
6856,0.6375
5253,0.84
6695,0.9275
6621,0.9275
6435,0.9225
5389,0.9575
6872,0.8875
6908,0.4575
6942,0.77
6665,0.795
6541,0.76
6688,0.825
5368,0.81
6923,0.8125
6313,0.885
5270,0.9225
5446,0.8875
5817,0.3275
7209,0.86
6568,0.915
6682,0.345
5699,0.8675
7292,0.8875
5214,0.7875
6437,0.7875
5320,0.7625
7164,0.93
5221,0.9025
5856,0.3125
6353,0.9325
6677,0.705
6242,0.795
5061,0.6625
6868,0.665
6097,0.85
7050,0.8575
7171,0.895
7200,0.89
6969,0.8625
7219,0.965
7242,0.9375
6852,0.9025
5830,0.91
6790,0.855
5265,0.935
6007,0.8575
7279,0.8525
5463,0.83
6355,0.6675
6675,0.9025
5620,0.8325
4988,0.635
5765,0.815
7091,0.8475
5933,0.9
6470,0.9025
5841,0.8725
6574,0.8575
5525,0.8425
5435,0.885
7168,0.895
5909,0.7525
6859,0.7225
6539,0.79
5226,0.5875
5260,0.895
6553,0.885
6633,0.87
7151,0.8
5665,0.7275
6932,0.925
7294,0.95
6321,0.8425
6469,0.9025
5614,0.885
4967,0.225
